Target,Output,Diff
0.65999997,1.213228,-0.553228
0.6983333,1.2111248,-0.51279145
0.96500003,1.8593724,-0.89437234
1.1999999,1.8556559,-0.655656
1.4442856,2.2109835,-0.7666979
1.358,2.2085724,-0.85057235
4.4040003,3.1308675,1.2731328
3.6496491,3.1355863,0.5140629
1.7372727,3.163496,-1.4262233
1.78,3.162498,-1.382498
4.04625,2.7428532,1.3033967
3.4672728,2.8373504,0.6299224
1.4471428,2.783117,-1.3359742
1.718,2.7845402,-1.0665401
1.4463637,2.4118395,-0.9654758
1.12,2.4073205,-1.2873205
1.6463636,2.7439866,-1.097623
1.4100001,2.7416182,-1.3316181
1.81,3.1021082,-1.2921083
1.6566668,3.1022046,-1.4455378
1.6275,3.265673,-1.6381729
2.06375,3.2649734,-1.2012234
2.3533335,3.9851947,-1.6318612
2.021111,3.9844859,-1.9633749
1.4666666,2.8915362,-1.4248697
1.55,2.8847828,-1.3347828
1.9200001,4.059346,-2.1393461
2.0066667,4.068904,-2.0622373
2.0757143,4.533703,-2.4579885
2.98,4.539052,-1.559052
2.14,5.131487,-2.9914868
2.362,5.1358275,-2.7738276
2.1033332,4.8082647,-2.7049315
2.04,4.7916155,-2.7516155
2.135,4.6142774,-2.4792774
2.13,4.600789,-2.470789
1.5,3.972678,-2.472678
1.793,3.9686556,-2.1756556
2.004,3.5503123,-1.5463123
1.72,3.540211,-1.8202109
2.31,2.9169912,-0.6069913
1.72,2.910094,-1.190094
1.239,2.257174,-1.018174
1.29,2.250351,-0.960351
1.01,2.248602,-1.2386019
1.6681819,2.7072527,-1.0390708
1.24,2.698238,-1.4582379
1.6141666,2.7289093,-1.1147426
1.4499999,2.3825865,-0.93258655
1.4633334,2.3740208,-0.91068745
1.065,1.9813025,-0.91630244
1.1725,1.9773815,-0.80488145
0.6016667,1.5047226,-0.9030559
0.6122222,1.365937,-0.7537148
0.67,1.3618613,-0.69186133
0.8366667,1.4193367,-0.58267
0.7966667,1.4172493,-0.62058264
0.9728572,1.5571665,-0.5843093
0.89199996,1.5552804,-0.6632805
0.9633333,1.7245692,-0.7612359
1.0066667,1.7248559,-0.71818924
0.727,1.6476684,-0.92066836
0.78000003,1.6438708,-0.8638708
0.9409091,1.619461,-0.678552
1.34,1.6102655,-0.27026546
2.1629999,3.4212372,-1.2582374
2.22,3.4063241,-1.1863241
2.94,5.404043,-2.4640431
4.7714286,5.394226,-0.6227975
3.085,5.4991474,-2.4141474
3.1425,5.484372,-2.3418722
5.0475,5.6295786,-0.58207846
4.715,5.622068,-0.9070678
2.9366665,5.619667,-2.6830006
1.515,3.6496625,-2.1346626
1.70625,3.6462526,-1.9400027
1.3125,2.8237143,-1.5112143
1.175,2.8221955,-1.6471956
2.2,2.8761363,-0.67613626
2.068,2.8775234,-0.80952334
1.385,6.0960917,-4.711092
8.852,6.0835257,2.7684746
1.1800001,3.9480896,-2.7680895
3.7954545,3.928484,-0.13302946
1.0,2.8664522,-1.8664522
1.5539999,2.8540168,-1.3000169
1.9183333,2.8418052,-0.9234719
0.96666664,2.8131256,-1.8464589
2.04,2.0615306,-0.021530628
1.3627273,2.0566478,-0.6939205
1.4200001,2.61686,-1.1968598
1.3699999,2.6117916,-1.2417917
1.0966667,2.6121035,-1.5154368
1.0527272,2.0658398,-1.0131125
0.78000003,2.0625312,-1.2825313
1.310909,2.2844725,-0.97356343
